strain	alive	dead	island
NKZ59	0	330	Iriomote 
NKZ59	0	208	Iriomote 
NKZ59	0	396	Iriomote 
NKZ59	0	222	Iriomote 
NKZ60	0	751	Iriomote 
NKZ60	5	520	Iriomote 
NKZ60	1	786	Iriomote 
NKZ60	0	760	Iriomote 
NKZ60	0	600	Iriomote 
NKZ63	0	247	Iriomote 
NKZ63	0	460	Iriomote 
NKZ63	0	304	Iriomote 
NKZ63	1	255	Iriomote 
NKZ63	0	215	Iriomote 
NKZ63	0	351	Iriomote 
NKZ63	0	447	Iriomote 
NKZ63	0	234	Iriomote 
NKZ63	0	301	Iriomote 
NKZ63	0	204	Iriomote 
NKZ64	0	861	Iriomote 
NKZ64	1	270	Iriomote 
NKZ64	0	133	Iriomote 
NKZ64	0	475	Iriomote 
NKZ64	0	987	Iriomote 
NKZ64	1	294	Iriomote 
NKZ64	0	704	Iriomote 
NKZ64	0	420	Iriomote 
NKZ64	3	1081	Iriomote 
NKZ64	0	213	Iriomote 
NKZ66	0	45	Iriomote 
NKZ66	0	105	Iriomote 
NKZ66	0	17	Iriomote 
NKZ66	0	51	Iriomote 
NKZ66	0	76	Iriomote 
NKZ67	0	720	Iriomote 
NKZ67	0	704	Iriomote 
NKZ67	0	471	Iriomote 
NKZ67	2	426	Iriomote 
NKZ67	2	1011	Iriomote 
NKZ67	0	420	Iriomote 
NKZ67	0	397	Iriomote 
NKZ67	0	887	Iriomote 
NKZ67	0	641	Iriomote 
NKZ67	0	326	Iriomote 
NKZ68	0	855	Iriomote 
NKZ68	0	847	Iriomote 
NKZ68	0	230	Iriomote 
NKZ68	0	414	Iriomote 
NKZ68	0	1287	Iriomote 
NKZ69	0	466	Iriomote 
NKZ69	1	801	Iriomote 
NKZ69	1	552	Iriomote 
NKZ69	0	248	Iriomote 
NKZ69	0	334	Iriomote 
NKZ70	0	424	Iriomote 
NKZ70	0	1200	Iriomote 
NKZ70	0	536	Iriomote 
NKZ70	0	322	Iriomote 
NKZ70	0	664	Iriomote 
NKZ72	0	791	Iriomote 
NKZ72	0	906	Iriomote 
NKZ72	0	1557	Iriomote 
NKZ72	0	860	Iriomote 
NKZ73	0	447	Iriomote 
NKZ73	1	371	Iriomote 
NKZ73	1	383	Iriomote 
NKZ73	4	297	Iriomote 
NKZ73	0	434	Iriomote 
NKZ73	2	313	Iriomote 
NKZ73	0	365	Iriomote 
NKZ73	0	619	Iriomote 
NKZ73	0	292	Iriomote 
NKZ73	2	194	Iriomote 
NKZ75	1	413	Iriomote 
NKZ75	0	565	Iriomote 
NKZ75	2	408	Iriomote 
NKZ75	1	740	Iriomote 
NKZ75	2	630	Iriomote 
NKZ88	5	245	Iriomote 
NKZ88	1	315	Iriomote 
NKZ88	4	438	Iriomote 
NKZ88	7	511	Iriomote 
NKZ88	2	808	Iriomote 
NKZ88	3	238	Iriomote 
NKZ88	9	558	Iriomote 
NKZ88	7	373	Iriomote 
NKZ88	2	186	Iriomote 
NKZ88	2	260	Iriomote 
