column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
2	length	C. inopinata Adult	C. tropicalis Dauer	20	20	400	6.79e-08	1.1e-07	****
2	length	C. inopinata Dauer	C. inopinata L1	20	20	400	6.74e-08	1.1e-07	****
2	length	C. inopinata Dauer	C. inopinata L2	20	20	193.5	0.871	0.881	ns
2	length	C. inopinata Dauer	C. inopinata L3	20	20	0	6.78e-08	1.1e-07	****
2	length	C. inopinata Dauer	C. inopinata L4	20	20	0	6.79e-08	1.1e-07	****
2	length	C. inopinata Dauer	C. tropicalis Dauer	20	20	73	0.000621	0.000734	***
2	length	C. inopinata L1	C. inopinata L2	20	20	8	2.2e-07	3.18e-07	****
2	length	C. inopinata L1	C. inopinata L3	20	20	0	6.74e-08	1.1e-07	****
2	length	C. inopinata L1	C. inopinata L4	20	20	0	6.75e-08	1.1e-07	****
2	length	C. inopinata L1	C. tropicalis Dauer	20	20	0	6.74e-08	1.1e-07	****
2	length	C. inopinata L2	C. inopinata L3	20	20	3	1.06e-07	1.66e-07	****
2	length	C. inopinata L2	C. inopinata L4	20	20	0	6.78e-08	1.1e-07	****
2	length	C. inopinata L2	C. tropicalis Dauer	20	20	101	0.008	0.009	**
2	length	C. inopinata L3	C. inopinata L4	20	20	9	2.56e-07	3.64e-07	****
2	length	C. inopinata L3	C. tropicalis Dauer	20	20	381.5	9.74e-07	1.34e-06	****
2	length	C. inopinata L4	C. tropicalis Dauer	20	20	400	6.79e-08	1.1e-07	****
3	length	C. briggsae Dauer	C. elegans Adult	20	20	0	1.45e-11	8.25e-11	****
3	length	C. briggsae Dauer	C. elegans Dauer	20	20	193.5	0.871	0.881	ns
3	length	C. briggsae Dauer	C. elegans L1	20	20	400	6.74e-08	1.1e-07	****
3	length	C. briggsae Dauer	C. elegans L2	20	20	324.5	0.000795	0.000952	***
3	length	C. briggsae Dauer	C. elegans L3	20	20	60	0.000161	0.000203	***
3	length	C. briggsae Dauer	C. elegans L4	20	20	0	1.45e-11	8.25e-11	****
3	length	C. briggsae Dauer	C. inopinata Adult	20	20	0	1.45e-11	8.25e-11	****
3	length	C. briggsae Dauer	C. inopinata Dauer	20	20	175	0.507	0.536	ns
3	length	C. briggsae Dauer	C. inopinata L1	20	20	399.5	7.27e-08	1.16e-07	****
3	length	C. briggsae Dauer	C. inopinata L2	20	20	210.5	0.787	0.805	ns
3	length	C. briggsae Dauer	C. inopinata L3	20	20	1	7.89e-08	1.22e-07	****
3	length	C. briggsae Dauer	C. inopinata L4	20	20	0	1.45e-11	8.25e-11	****
3	length	C. briggsae Dauer	C. tropicalis Dauer	20	20	47.5	3.93e-05	5.04e-05	****
3	length	C. elegans Adult	C. elegans Dauer	20	20	400	6.79e-08	1.1e-07	****
3	length	C. elegans Adult	C. elegans L1	20	20	400	6.74e-08	1.1e-07	****
3	length	C. elegans Adult	C. elegans L2	20	20	400	6.79e-08	1.1e-07	****
3	length	C. elegans Adult	C. elegans L3	20	20	400	6.77e-08	1.1e-07	****
3	length	C. elegans Adult	C. elegans L4	20	20	381	3.03e-08	1.1e-07	****
3	length	C. elegans Adult	C. inopinata Adult	20	20	0	1.45e-11	8.25e-11	****
3	length	C. elegans Adult	C. inopinata Dauer	20	20	400	1.45e-11	8.25e-11	****
3	length	C. elegans Adult	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
3	length	C. elegans Adult	C. inopinata L2	20	20	400	6.78e-08	1.1e-07	****
3	length	C. elegans Adult	C. inopinata L3	20	20	366.5	7.1e-06	9.23e-06	****
3	length	C. elegans Adult	C. inopinata L4	20	20	114.5	0.022	0.024	*
3	length	C. elegans Adult	C. tropicalis Dauer	20	20	400	1.45e-11	8.25e-11	****
3	length	C. elegans Dauer	C. elegans L1	20	20	400	6.73e-08	1.1e-07	****
3	length	C. elegans Dauer	C. elegans L2	20	20	321	0.001	0.001	**
3	length	C. elegans Dauer	C. elegans L3	20	20	85	0.002	0.002	**
3	length	C. elegans Dauer	C. elegans L4	20	20	0	6.79e-08	1.1e-07	****
3	length	C. elegans Dauer	C. inopinata Adult	20	20	0	6.79e-08	1.1e-07	****
3	length	C. elegans Dauer	C. inopinata Dauer	20	20	195	0.903	0.903	ns
3	length	C. elegans Dauer	C. inopinata L1	20	20	394	1.64e-07	2.38e-07	****
3	length	C. elegans Dauer	C. inopinata L2	20	20	223.5	0.534	0.552	ns
3	length	C. elegans Dauer	C. inopinata L3	20	20	6	1.65e-07	2.38e-07	****
3	length	C. elegans Dauer	C. inopinata L4	20	20	0	6.79e-08	1.1e-07	****
3	length	C. elegans Dauer	C. tropicalis Dauer	20	20	89.5	0.003	0.003	**
3	length	C. elegans L1	C. elegans L2	20	20	0	6.73e-08	1.1e-07	****
3	length	C. elegans L1	C. elegans L3	20	20	0	6.71e-08	1.1e-07	****
3	length	C. elegans L1	C. elegans L4	20	20	0	6.74e-08	1.1e-07	****
3	length	C. elegans L1	C. inopinata Adult	20	20	0	6.74e-08	1.1e-07	****
3	length	C. elegans L1	C. inopinata Dauer	20	20	0	6.74e-08	1.1e-07	****
3	length	C. elegans L1	C. inopinata L1	20	20	2	9.03e-08	1.37e-07	****
3	length	C. elegans L1	C. inopinata L2	20	20	0	6.72e-08	1.1e-07	****
3	length	C. elegans L1	C. inopinata L3	20	20	0	6.73e-08	1.1e-07	****
3	length	C. elegans L1	C. inopinata L4	20	20	0	6.74e-08	1.1e-07	****
3	length	C. elegans L1	C. tropicalis Dauer	20	20	0	6.74e-08	1.1e-07	****
3	length	C. elegans L2	C. elegans L3	20	20	12	3.9e-07	5.22e-07	****
3	length	C. elegans L2	C. elegans L4	20	20	0	6.79e-08	1.1e-07	****
3	length	C. elegans L2	C. inopinata Adult	20	20	0	6.79e-08	1.1e-07	****
3	length	C. elegans L2	C. inopinata Dauer	20	20	75	0.000757	0.000931	***
3	length	C. elegans L2	C. inopinata L1	20	20	391	2.54e-07	3.5e-07	****
3	length	C. elegans L2	C. inopinata L2	20	20	120.5	0.032	0.036	*
3	length	C. elegans L2	C. inopinata L3	20	20	0	6.78e-08	1.1e-07	****
3	length	C. elegans L2	C. inopinata L4	20	20	0	6.79e-08	1.1e-07	****
3	length	C. elegans L2	C. tropicalis Dauer	20	20	16	6.91e-07	9.11e-07	****
3	length	C. elegans L3	C. elegans L4	20	20	0	6.77e-08	1.1e-07	****
3	length	C. elegans L3	C. inopinata Adult	20	20	0	6.77e-08	1.1e-07	****
3	length	C. elegans L3	C. inopinata Dauer	20	20	336.5	0.000234	0.000292	***
3	length	C. elegans L3	C. inopinata L1	20	20	400	6.72e-08	1.1e-07	****
3	length	C. elegans L3	C. inopinata L2	20	20	316.5	0.002	0.002	**
3	length	C. elegans L3	C. inopinata L3	20	20	7	1.91e-07	2.72e-07	****
3	length	C. elegans L3	C. inopinata L4	20	20	0	6.77e-08	1.1e-07	****
