column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
2	width	C. elegans L1	C. elegans L3	20	20	0	5.71e-08	1.44e-07	****
2	width	C. elegans L1	C. elegans L4	20	20	0	6e-08	1.44e-07	****
2	width	C. elegans L1	C. inopinata Adult	20	20	0	6.09e-08	1.44e-07	****
2	width	C. elegans L1	C. inopinata Dauer	20	20	0	5.89e-08	1.44e-07	****
2	width	C. elegans L1	C. inopinata L1	20	20	149	0.161	0.17	ns
2	width	C. elegans L1	C. inopinata L2	20	20	13.5	3.99e-07	6.48e-07	****
2	width	C. elegans L1	C. inopinata L3	20	20	0	6e-08	1.44e-07	****
2	width	C. elegans L1	C. inopinata L4	20	20	0	6.02e-08	1.44e-07	****
2	width	C. elegans L1	C. tropicalis Dauer	20	20	51	5.06e-05	6.4e-05	****
2	width	C. elegans L2	C. elegans L3	20	20	0	6.03e-08	1.44e-07	****
2	width	C. elegans L2	C. elegans L4	20	20	0	6.33e-08	1.44e-07	****
2	width	C. elegans L2	C. inopinata Adult	20	20	0	6.43e-08	1.44e-07	****
2	width	C. elegans L2	C. inopinata Dauer	20	20	112	0.017	0.019	*
2	width	C. elegans L2	C. inopinata L1	20	20	395	1.24e-07	2.13e-07	****
2	width	C. elegans L2	C. inopinata L2	20	20	251	0.169	0.177	ns
2	width	C. elegans L2	C. inopinata L3	20	20	15	5.55e-07	8.56e-07	****
2	width	C. elegans L2	C. inopinata L4	20	20	0	6.36e-08	1.44e-07	****
2	width	C. elegans L2	C. tropicalis Dauer	20	20	335.5	0.000244	0.000304	***
2	width	C. elegans L3	C. elegans L4	20	20	1.5	7.79e-08	1.53e-07	****
2	width	C. elegans L3	C. inopinata Adult	20	20	0	6.32e-08	1.44e-07	****
2	width	C. elegans L3	C. inopinata Dauer	20	20	360	1.48e-05	1.9e-05	****
2	width	C. elegans L3	C. inopinata L1	20	20	400	5.79e-08	1.44e-07	****
2	width	C. elegans L3	C. inopinata L2	20	20	383	7.3e-07	1.09e-06	****
2	width	C. elegans L3	C. inopinata L3	20	20	93	0.004	0.004	**
2	width	C. elegans L3	C. inopinata L4	20	20	4	1.13e-07	1.98e-07	****
2	width	C. elegans L3	C. tropicalis Dauer	20	20	400	6.19e-08	1.44e-07	****
2	width	C. elegans L4	C. inopinata Adult	20	20	3.5	1.12e-07	1.98e-07	****
2	width	C. elegans L4	C. inopinata Dauer	20	20	399	7.47e-08	1.53e-07	****
2	width	C. elegans L4	C. inopinata L1	20	20	400	6.08e-08	1.44e-07	****
2	width	C. elegans L4	C. inopinata L2	20	20	400	6.51e-08	1.44e-07	****
2	width	C. elegans L4	C. inopinata L3	20	20	375	2.25e-06	3.3e-06	****
